                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.3507,                0.96118,                 1.1144,                0.95077,                0.83962,                0.91516,                0.51021,                 1.4589,                 1.1454,                 1.4003,               0.005842,               0.005842,               0.005842
                     86,                 1.4001,                 1.2468,                 1.4007,                0.95077,                0.83962,                0.91516,                0.51021,                 1.4589,                 1.1454,                 1.4003,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.4554,                 1.0021,                 1.1694,                0.95295,                0.88073,                0.93226,                0.52531,                 1.4651,                 1.0693,                 1.3992,               0.005743,               0.005743,               0.005743
                     88,                 1.2971,                0.86642,                 1.1576,                0.95295,                0.88073,                0.93226,                0.52531,                 1.4651,                 1.0693,                 1.3992,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.4899,                 1.2961,                 1.3795,                0.95996,                0.86957,                 0.9109,                0.50777,                 1.4867,                 1.1144,                 1.4281,               0.005644,               0.005644,               0.005644
                     90,                 1.4861,                 1.1116,                  1.321,                0.95996,                0.86957,                 0.9109,                0.50777,                 1.4867,                 1.1144,                 1.4281,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.2193,                 1.0256,                 1.2599,                0.93397,                0.82008,                0.88126,                0.48281,                 1.5438,                  1.376,                 1.4048,               0.005545,               0.005545,               0.005545
                     92,                 1.5146,                  1.039,                 1.1901,                0.93397,                0.82008,                0.88126,                0.48281,                 1.5438,                  1.376,                 1.4048,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.4568,                 1.0467,                 1.2252,                0.95101,                0.85507,                0.88742,                0.49037,                 1.5084,                 1.3082,                 1.4064,               0.005446,               0.005446,               0.005446
                     94,                 1.3188,                 1.0197,                 1.2684,                0.95101,                0.85507,                0.88742,                0.49037,                 1.5084,                 1.3082,                 1.4064,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.3451,                0.99882,                 1.2464,                0.95033,                0.83196,                0.89784,                0.50113,                 1.5003,                 1.2882,                 1.3985,               0.005347,               0.005347,               0.005347
                     96,                  1.376,                 1.0257,                 1.1477,                0.95033,                0.83196,                0.89784,                0.50113,                 1.5003,                 1.2882,                 1.3985,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.4181,                0.99343,                 1.1611,                0.92218,                0.85877,                0.90992,                0.50969,                  1.488,                 1.1461,                 1.3854,               0.005248,               0.005248,               0.005248
                     98,                  1.299,                0.99798,                 1.2509,                0.92218,                0.85877,                0.90992,                0.50969,                  1.488,                 1.1461,                 1.3854,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3743,                0.94632,                 1.2301,                0.94275,                0.86957,                0.91522,                0.55421,                 1.4392,                0.99868,                 1.3626,               0.005149,               0.005149,               0.005149
                    100,                 1.3208,                0.87424,                 1.1482,                0.94275,                0.86957,                0.91522,                0.55421,                 1.4392,                0.99868,                 1.3626,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.3303,                 1.1264,                 1.3178,                0.90038,                0.91693,                0.91202,                0.55543,                 1.4443,                 1.0031,                 1.3566,                0.00505,                0.00505,                0.00505
